"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_9377","","hypothetical protein","18","3","5","77","78.26086956521739","96.25","92.4","6.849144711971085e-13","1.593453517240073e-08","4.552724334971637e-10","2","1","1","1.0","1.0"
"group_3527","","hypothetical protein","18","3","5","77","78.26086956521739","96.25","92.4","6.849144711971085e-13","1.593453517240073e-08","4.552724334971637e-10","2","1","1","1.0","1.0"
"group_9378","","hypothetical protein","18","3","5","77","78.26086956521739","96.25","92.4","6.849144711971085e-13","1.593453517240073e-08","4.552724334971637e-10","2","1","1","1.0","1.0"
"group_464","","hypothetical protein","0","64","23","16","0.0","20.0","0.0","7.045807614001971e-13","1.6392071413975585e-08","4.553353170548774e-10","2","0","2","0.5","0.5"
"group_181","","hypothetical protein","15","0","8","80","65.21739130434783","100.0","inf","1.2009218703792006e-12","2.7939447314372103e-08","7.163960849839e-10","1","1","0","1.0","1.0"
"group_2236","","hypothetical protein","15","0","8","80","65.21739130434783","100.0","inf","1.2009218703792006e-12","2.7939447314372103e-08","7.163960849839e-10","1","1","0","1.0","1.0"
"group_7928","","hypothetical protein","15","0","8","80","65.21739130434783","100.0","inf","1.2009218703792006e-12","2.7939447314372103e-08","7.163960849839e-10","1","1","0","1.0","1.0"
"nhaK","","hypothetical protein","23","17","0","63","100.0","78.75","inf","1.65783708564752e-12","3.856957979758955e-08","8.86873899425215e-10","2","2","0","0.5","0.5"
"group_187","","hypothetical protein","0","63","23","17","0.0","21.25","0.0","1.65783708564752e-12","3.856957979758955e-08","8.86873899425215e-10","2","0","2","0.5","0.5"
"group_12341","iolU_3","scyllo-inositol 2-dehydrogenase (NADP(+)) IolU","16","1","7","79","69.56521739130434","98.75","180.57142857142858","1.7154234031435494e-12","3.990932547413468e-08","8.86873899425215e-10","2","1","1","1.0","1.0"
"group_12342","ybbH_1","putative HTH-type transcriptional regulator YbbH","16","1","7","79","69.56521739130434","98.75","180.57142857142858","1.7154234031435494e-12","3.990932547413468e-08","8.86873899425215e-10","2","1","1","1.0","1.0"
"hsrA_2","","putative transport protein HsrA","16","1","7","79","69.56521739130434","98.75","180.57142857142858","1.7154234031435494e-12","3.990932547413468e-08","8.86873899425215e-10","2","1","1","1.0","1.0"
"rbsK/rbiA","","Bifunctional ribokinase/ribose-5-phosphate isomerase A","16","1","7","79","69.56521739130434","98.75","180.57142857142858","1.7154234031435494e-12","3.990932547413468e-08","8.86873899425215e-10","2","1","1","1.0","1.0"
