,bnf.ratio,state
GCF_002563615.1,0,control
GCF_002804185.1,0,control
GCF_002804285.1,0,control
GCF_002866835.1,0,control
GCF_002895225.1,0,control
GCF_002926075.1,0,control
GCF_003025215.1,0,control
GCF_003116835.1,0,control
GCF_003176835.1,0,control
GCF_003346395.1,0,control
GCF_003394085.1,0,control
GCF_900088425.1,0,control
GCF_900094145.1,0,control
GCF_900099625.1,0,control
GCF_900114555.1,0,control
GCF_900119835.1,0,control
GCF_900205905.1,0,control
GCF_900240855.1,0,control
GCF_900240865.1,0,control
GCF_900240885.1,0,control
GCF_900240895.1,0,control
GCF_900240905.1,0,control
GCF_900240925.1,0,control
GCF_900240935.1,0,control
GCF_900240955.1,0,control
GCF_900240965.1,0,control
GCF_900258445.1,0,control
GCF_900291885.1,0,control
GCF_900291895.1,0,control
